Centro-Sul,São Bento
Centro-Sul,Vila Novo São Lucas
Oeste,Leonina
Noroeste,Bom Jesus
Leste,Granja de Freitas
Centro-Sul,Vila Paris
Leste,Mariano de Abreu
Noroeste,Minas Brasil
Norte,Monte Azul
Barreiro,Mangueiras
Pampulha,Inconfidência
Noroeste,Ermelinda
Barreiro,Jatobá
Nordeste,Vitória
Leste,Horto
Leste,Taquaril
Noroeste,Conjunto Califórnia I
Pampulha,Indaiá
Oeste,Barroca
Nordeste,Dom Joaquim
Nordeste,Pirajá
Nordeste,Conjunto Paulo VI
Noroeste,Alto dos Pinheiros
Oeste,Parque São José
Noroeste,Vila Califórnia
Norte,Novo Tupi
Barreiro,Vila Independência I
Noroeste,Conjunto Jardim Filadélfia
Centro-Sul,São Lucas
Noroeste,Vila Sumaré
Noroeste,São Cristóvão
Norte,Aarão Reis
Barreiro,Pilar
Barreiro,Santa Cecília
Oeste,Marajó
Barreiro,Flávio de Oliveira
Oeste,São Jorge III
Noroeste,Senhor dos Passos
Pampulha,Universo
Barreiro,Santa Rita
Oeste,Santa Sofia
Nordeste,Conjunto Capitão Eduardo
Norte,Campo Alegre
Pampulha,Vila Jardim Alvorada
Oeste,São Jorge II
Pampulha,Conjunto Celso Machado
Venda Nova,Venda Nova
Barreiro,Pongelupe
Norte,Zilah Spósito
Venda Nova,Canaã
Norte,São Gonçalo
Leste,Jonas Veiga
Nordeste,Acaiaca
Venda Nova,Vila São João Batista
Norte,Primeiro de Maio
Barreiro,Novo Santa Cecília
Norte,Etelvina Carneiro
Venda Nova,Parque São Pedro
Barreiro,Santa Margarida
Venda Nova,Cenáculo
Noroeste,Vila Nova Cachoeirinha I
Nordeste,Belmonte
Nordeste,Penha
Oeste,Alpes
Barreiro,Petropolis
Norte,Mariquinhas
Barreiro,Esperança
Barreiro,Ernesto do Nascimento
Venda Nova,Vila Santa Mônica
Norte,Vila Aeroporto
Norte,Granja Werneck
Pampulha,Braúnas
Barreiro,Águas Claras
Barreiro,Alta Tensão I
Norte,Frei Leopoldo
Pampulha,Universitário
Pampulha,Suzana
Centro-Sul,Mangabeiras
Oeste,Vila Madre Gertrudes I
Barreiro,Vila Mangueiras
Oeste,Barão Homem de Melo I
Nordeste,Vila São Paulo
Barreiro,Túnel de Ibirité
Oeste,Imbaúbas
Barreiro,Ademar Maldonado
Pampulha,Itatiaia
Barreiro,João Paulo II
Centro-Sul,Comiteco
Noroeste,Conjunto Califórnia II
Oeste,Jardinópolis
Oeste,São Jorge I
Barreiro,Vila Ecológica
Pampulha,Vila Jardim São José
Barreiro,Vila Piratininga
Barreiro,São João
Norte,Biquinhas
Nordeste,Tiradentes
Nordeste,Pousada Santo Antônio
Venda Nova,Vila Nossa Senhora Aparecida
Oeste,Vila Antena
Nordeste,São Benedito
Centro-Sul,Estrela
Barreiro,Vila Átila de Paiva
Oeste,Olhos d'água
Noroeste,Vila Coqueiral
Centro-Sul,Cidade Jardim
Noroeste,Vila Trinta e Um de Março
Pampulha,São José
Norte,Solimões
Barreiro,Bernadete
Norte,Xodó-Marize
Nordeste,Vila da Luz
Pampulha,Jardim Atlântico
Barreiro,Vila Formosa
Oeste,Vila Nova Gameleira II
Pampulha,Vila Santa Rosa
Pampulha,Engenho Nogueira
Venda Nova,Vila Copacabana
Noroeste,São Francisco das Chagas
Oeste,Vila Oeste
Pampulha,Aeroporto
Nordeste,Beija Flor
Nordeste,Capitão Eduardo
Barreiro,Marieta I
Barreiro,Átila de Paiva
Leste,Vila São Rafael
Barreiro,Vitória da Conquista
Centro-Sul,Acaba Mundo
Centro-Sul,Conjunto Santa Maria
Barreiro,Jardim do Vale
Centro-Sul,Monte São José
Noroeste,Álvaro Camargos
Oeste,Sport Club
Oeste,Bairro das Indústrias II
Barreiro,Conjunto Bonsucesso
Leste,Vila Dias
Nordeste,Vila Esplanada
Barreiro,Vila Independência II
Nordeste,Vila de Sá
Pampulha,Garças
Leste,Vila Boa Vista
Noroeste,Delta
Barreiro,Corumbiara
Norte,Madri
Oeste,Pantanal
Norte,Conjunto Floramar
Barreiro,Vila Pilar
Barreiro,Vila Olhos d'água
Barreiro,Marilândia
Oeste,Virgínia
Norte,Vila Minaslândia
Oeste,Vila Nova Gameleira I
Venda Nova,Vila dos Anjos
Oeste,Ambrosina
Nordeste,Andiroba
Noroeste,Marmiteiros
Oeste,Guaratã
Leste,Vila União
Venda Nova,Vila Mantiqueira
Noroeste,Conjunto Novo Dom Bosco
Oeste,Vila Nova Paraíso
Pampulha,Vila Paquetá
Nordeste,Vila Inestan
Nordeste,Vila São Gabriel Jacuí
Nordeste,Vila Nova Cachoeirinha IV
Pampulha,Vila Real II
Leste,Vila Nossa Senhora do Rosário
Pampulha,Vila Santo Antônio Barroquinha
Oeste,Vila Madre Gertrudes II
Nordeste,Bela Vitória
Noroeste,Vila Maloca
Pampulha,Conjunto Lagoa
Pampulha,Vila Suzana I
Barreiro,Distrito Industrial do Jatobá
Leste,Pirineus
Pampulha,Vila Aeroporto Jaraguá
Norte,Vila Nova
Nordeste,Vila Ouro Minas
Nordeste,Três Marias
Barreiro,Vila Nova dos Milionários
Norte,Mirante
Centro-Sul,Vila Bandeirantes
Nordeste,Boa Esperança
Nordeste,Vila da Paz
Oeste,Vila Calafate
Leste,São Vicente
Pampulha,Novo Ouro Preto
Nordeste,Canadá
Nordeste,Antônio Ribeiro de Abreu
Norte,Satélite
Pampulha,Vila Antena Montanhês
Nordeste,Grotinha
Leste,Cônego Pinheiro
Oeste,Chácara Leonina
Oeste,Vila Madre Gertrudes III
Nordeste,Vila São Gabriel
Leste,Vila Paraíso
Centro-Sul,Ápia
Oeste,Vila da Amizade
Barreiro,Alta Tensão
Leste,João Alfredo
Barreiro,Alto das Antenas
Norte,Maria Teresa
Leste,Caetano Furquim
Barreiro,Vila Independência IV
Pampulha,Unidas
Venda Nova,Vila Piratininga Venda Nova
Nordeste,São Sebastião
Pampulha,Nova Pampulha
Oeste,Vila Havaí
Nordeste,Mirtes
Barreiro,Serra do Rola Moça
Venda Nova,Vila SESC
Nordeste,Morro dos Macacos
Leste,Vila da Área
Pampulha,Vila Santo Antônio
Venda Nova,Flamengo
Oeste,Gameleira
Barreiro,Vila COPASA
Venda Nova,São Damião
Oeste,Custodinha
Norte,Boa União I
Pampulha,Conjunto São Francisco de Assis
Barreiro,Vila Petrópolis
Norte,Conjunto Providência
Barreiro,Marieta II
Pampulha,Vila Engenho Nogueira
Pampulha,Vila Jardim Montanhês
Noroeste,Vila das Oliveiras
